timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-10-28,373419.59788800,376386.06639600,373168.55655900,373748.24659500,58413.44000000,58877.48000000,58374.17000000,58464.85000000,966.28516000,966.28516000
2021-10-27,385663.98368700,393125.47920000,370776.60000000,373419.59788800,60328.81000000,61496.00000000,58000.00000000,58413.44000000,62124.49016000,62124.49016000
2021-10-26,403243.71690600,404616.22959600,382395.65188500,385663.98368700,63078.78000000,63293.48000000,59817.55000000,60328.81000000,40217.50083000,40217.50083000
2021-10-25,389009.98679400,407282.94440100,387717.25500000,403243.71690600,60852.22000000,63710.63000000,60650.00000000,63078.78000000,36853.83806000,36853.83806000
2021-10-24,391787.80672500,393151.05000000,380433.60440100,389009.98679400,61286.75000000,61500.00000000,59510.63000000,60852.22000000,31226.57676000,31226.57676000
2021-10-23,387961.64792100,394734.13822800,380762.95630500,391787.80672500,60688.23000000,61747.64000000,59562.15000000,61286.75000000,27626.93678000,27626.93678000
2021-10-22,397582.15000500,407422.04955300,383562.00000000,387961.58399400,62193.15000000,63732.39000000,60000.00000000,60688.22000000,52119.35886000,52119.35886000
2021-10-21,421927.14978000,426007.86589800,396347.40000000,397582.15000500,66001.40000000,66639.74000000,62000.00000000,62193.15000000,68538.64537000,68538.64537000
2021-10-20,410926.52769300,428310.90000000,405817.54578000,421927.21370700,64280.59000000,67000.00000000,63481.40000000,66001.41000000,51428.93485600,51428.93485600
2021-10-19,396383.19912000,412239.65220000,392014.55579400,410926.52769300,62005.60000000,64486.00000000,61322.22000000,64280.59000000,53628.10774400,53628.10774400
2021-10-18,393332.09126400,400795.31280600,382567.61551500,396410.30416800,61528.32000000,62695.78000000,59844.45000000,62009.84000000,51798.44844000,51798.44844000
2021-10-17,389159.25633900,394547.15175300,376932.77010000,393332.15519100,60875.57000000,61718.39000000,58963.00000000,61528.33000000,39099.24124000,39099.24124000
2021-10-16,394253.27933400,398766.52553400,384520.90500000,389159.25633900,61672.42000000,62378.42000000,60150.00000000,60875.57000000,35467.88096000,35467.88096000
2021-10-15,366608.17603800,402311.78910000,363424.99500000,394253.27933400,57347.94000000,62933.00000000,56850.00000000,61672.42000000,82512.90802200,82512.90802200
2021-10-14,366754.50494100,374180.96845800,363220.74823500,366608.17603800,57370.83000000,58532.54000000,56818.05000000,57347.94000000,43053.33678100,43053.33678100
2021-10-13,357971.44655700,369351.02790000,346274.59551300,366730.02090000,55996.91000000,57777.00000000,54167.19000000,57367.00000000,55808.44492000,55808.44492000
2021-10-12,367397.09914500,368730.93600000,344432.28330000,357971.57441100,57471.35000000,57680.00000000,53879.00000000,55996.93000000,53471.28550000,53471.28550000
